Book ID,Price
OL15193551W,27.64
OL9292855M,67.28
OL6039451W,69.94
OL6466535W,22.79
OL23201952W,107.19
OL3490104W,30.99
OL4557096W,140.81
OL15692179W,27.86
OL18560519W,158.14
OL6542626W,68.17
OL8206303W,106.95
OL15568819W,45.17
OL18176340W,132.98
OL3352623W,85.35
OL1698754W,105.24
OL2024484W,127.9
OL16352013W,59.23
OL20130017W,67.3
OL16975093W,167.35
OL5899000W,71.56
OL15231928M,34.03
OL117957W,165.53
OL12316220W,44.32
OL6570539W,76.06
OL4312015W,131.56
OL8508749W,34.57
OL19312539W,116.41
OL9167574W,111.23
OL8574216M,169.9
OL15287367W,146.51
OL19231716W,154.33
OL21417378W,158.3
OL21094640W,123.76
OL10649463M,140.4
OL2968908W,37.1
OL83092W,46.55
OL22888792W,59.87
OL9258481M,89.95
OL11604301W,145.11
OL17408050W,42.68
OL9257806M,45.03
OL1934861W,33.01
OL20643152W,59.44
OL9972431M,160.83
OL18741710W,168.59
OL17755443W,144.42
OL6599989W,24.26
OL15193546W,71.88
OL16441916W,46.02
OL10260848M,75.93
OL9029716W,88.76
OL17567157W,99.57
OL15035950W,142.7
OL9037034W,105.2
OL16989399W,100.94
OL4103658W,36.44
OL2712252W,66.61
OL16919790W,162.36
OL4457646W,154.04
OL19547737W,159.67
OL514434W,22.32
OL21565353W,70.15
OL9260529M,120.07
OL4290898W,44.82
OL13063173W,141.93
OL4102110W,20.93
OL4623294W,41.68
OL4288928W,28.72
OL15027937W,155.36
OL19548003W,47.19
OL15857480W,126.48
OL15433692W,24.68
OL5749230W,65.64
OL1813706W,119.29
OL6338894W,141.62
OL3042115W,139.46
OL15138930W,123.3
OL16948906W,117.45
OL15056276W,104.3
OL23881057W,73.12
OL1030312W,107.51
OL17564326W,110.49
OL4974059W,61.28
OL20719746W,64.13
OL18969461W,164.13
OL23881134W,106.78
OL24133235W,80.43
OL10649986M,64.5
OL13209161W,162.94
OL16799438W,162.12
OL4739366W,104.05
OL21437472W,167.43
OL22318591W,32.3
OL15536764W,125.9
OL18613859W,143.04
OL23880609W,62.23
OL17669484W,108.2
OL12369495M,147.17
OL8273333W,25.07
OL20644611W,125.65
OL12279789W,137.03
OL3399127W,48.92
OL16931252W,106.49
OL15238292M,40.37
OL8362417W,84.49
OL12144427W,95.66
OL9280274M,139.04
OL19204891W,28.31
OL4162241W,131.85
OL3413975W,155.01
OL19567544W,90.52
OL15588525W,73.24
OL15205121W,134.09
OL19226513W,50.28
OL3680883W,127.57
OL13311004M,22.38
OL16469972W,96.82
OL21380531W,97.4
OL4862626W,82.73
OL23283025W,80.61
OL19546694W,47.76
OL3947220W,51.99
OL5369193W,147.25
OL5844076W,87.25
OL20979786W,144.86
OL12158869M,23.06
OL8412551W,134.13
OL15231147M,151.01
OL9310362M,50.89
OL16973084W,40.85
OL703728W,94.04
OL2024482W,162.83
OL7947070W,37.25
OL15238933M,114.08
OL15233292M,135.85
OL3197790W,159.46
OL16471242W,108.97
OL22723832W,63.72
OL8273427W,164.36
OL17552864W,67.04
OL8628481M,32.22
OL21464475W,77.33
OL8977851W,158.97
OL15055865W,157.38
OL17202591W,78.41
OL19840070W,21.18
OL11645334W,61.57
OL3052162W,29.33
OL6599990W,77.3
OL3496723W,155.24
OL4464423W,53.17
OL8582436M,47.46
OL5274361W,90.36
OL5405714W,67.74
OL11080521W,157.16
OL3836136W,57.76
OL8578513W,95.33
OL3171100W,96.77
OL19546469W,144.04
OL11145735M,78.15
OL16967089W,138.11
OL3297589W,130.89
OL273675W,165.37
OL19855350W,71.35
OL22933896W,90.46
OL2036831W,43.24
OL5607506W,66.57
OL3225910W,156.91
OL12231121W,140.17
OL4089102W,61.32
OL19333906W,153.12
OL11319221M,52.49
OL19891276W,57.42
OL13847301W,146.34
OL17427453W,146.87
OL9385065W,106.27
OL2924223W,141.89
OL58745W,164.31
OL5856285W,69.59
OL9317196W,145.54
OL2033081W,73.86
OL6445906W,43.26
OL12409302W,86.08
OL9082037M,51.01
OL24063559W,141.32
